date,case_id,tier,model,status,elapsed_s,tool_calls,response_len,has_rc,has_lf,has_gf,response_source,has_collect
20260510,bc-heap-overflow,1,anthropic-claude-sonnet-4-5,build_failed,0.0,,0,False,False,False,,False
20260510,berry-1,1,anthropic-claude-sonnet-4-5,ok,251.627,0,0,False,False,False,,True
20260510,berry-2,1,anthropic-claude-sonnet-4-5,ok,251.593,0,0,False,False,False,,True
20260510,berry-3,1,anthropic-claude-sonnet-4-5,ok,251.55,0,0,False,False,False,,True
20260510,berry-4,1,anthropic-claude-sonnet-4-5,ok,251.551,0,0,False,False,False,,True
20260510,berry-5,1,anthropic-claude-sonnet-4-5,ok,251.46,0,0,False,False,False,,True
20260510,crashbench-abo2,1,anthropic-claude-sonnet-4-5,ok,251.345,0,0,False,False,False,,True
20260510,crashbench-abo8,1,anthropic-claude-sonnet-4-5,ok,251.227,0,0,False,False,False,,True
20260510,man-overflow,1,anthropic-claude-sonnet-4-5,build_failed,0.0,,0,False,False,False,,False
20260510,ncompress-overflow,1,anthropic-claude-sonnet-4-5,build_failed,0.0,,0,False,False,False,,False
20260510,polymorph-overflow,1,anthropic-claude-sonnet-4-5,build_failed,0.0,,0,False,False,False,,False
20260510,bc-heap-overflow,1,google-gemini-2-5-flash,build_failed,0.0,,0,False,False,False,,False
20260510,crashbench-abo1,1,google-gemini-2-5-flash,ok,251.893,0,0,False,False,False,,True
20260510,crashbench-abo2,1,google-gemini-2-5-flash,ok,251.63,0,0,False,False,False,,True
20260510,crashbench-abo3,1,google-gemini-2-5-flash,ok,251.647,0,0,False,False,False,,True
20260510,crashbench-abo5,1,google-gemini-2-5-flash,ok,251.646,0,0,False,False,False,,True
20260510,crashbench-abo7,1,google-gemini-2-5-flash,ok,251.565,0,0,False,False,False,,True
20260510,crashbench-abo8,1,google-gemini-2-5-flash,ok,251.568,0,0,False,False,False,,True
20260510,juliet-cwe121-char-type-overrun-memcpy-01,1,google-gemini-2-5-flash,ok,251.522,0,0,False,False,False,,True
20260510,juliet-cwe122-char-type-overrun-memcpy-01,1,google-gemini-2-5-flash,ok,251.525,0,0,False,False,False,,True
20260510,juliet-cwe126-char-alloca-loop-01,1,google-gemini-2-5-flash,ok,251.475,0,0,False,False,False,,True
20260510,juliet-cwe415-malloc-free-char-01,1,google-gemini-2-5-flash,ok,251.479,0,0,False,False,False,,True
20260510,juliet-cwe416-malloc-free-char-01,1,google-gemini-2-5-flash,ok,251.411,0,0,False,False,False,,True
20260510,man-overflow,1,google-gemini-2-5-flash,build_failed,0.0,,0,False,False,False,,False
20260510,ncompress-overflow,1,google-gemini-2-5-flash,build_failed,0.0,,0,False,False,False,,False
20260510,polymorph-overflow,1,google-gemini-2-5-flash,build_failed,0.0,,0,False,False,False,,False
20260510,bc-heap-overflow,1,google-gemini-3-1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
20260510,berry-1,1,google-gemini-3-1-flash-lite-preview,ok,251.627,0,0,False,False,False,,True
20260510,berry-2,1,google-gemini-3-1-flash-lite-preview,ok,251.618,0,0,False,False,False,,True
20260510,berry-3,1,google-gemini-3-1-flash-lite-preview,ok,251.551,0,0,False,False,False,,True
20260510,berry-4,1,google-gemini-3-1-flash-lite-preview,ok,251.551,0,0,False,False,False,,True
20260510,berry-5,1,google-gemini-3-1-flash-lite-preview,ok,251.462,0,0,False,False,False,,True
20260510,man-overflow,1,google-gemini-3-1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
20260510,ncompress-overflow,1,google-gemini-3-1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
20260510,polymorph-overflow,1,google-gemini-3-1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
20260510,bc-heap-overflow,1,meta-llama-llama-3-1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
20260510,crashbench-abo1,1,meta-llama-llama-3-1-8b-instruct,ok,251.338,0,0,False,False,False,,True
20260510,crashbench-abo2,1,meta-llama-llama-3-1-8b-instruct,ok,251.301,0,0,False,False,False,,True
20260510,crashbench-abo3,1,meta-llama-llama-3-1-8b-instruct,ok,251.414,0,0,False,False,False,,True
20260510,crashbench-abo5,1,meta-llama-llama-3-1-8b-instruct,ok,251.405,0,0,False,False,False,,True
20260510,crashbench-abo7,1,meta-llama-llama-3-1-8b-instruct,ok,251.507,0,0,False,False,False,,True
20260510,crashbench-abo8,1,meta-llama-llama-3-1-8b-instruct,ok,251.503,0,0,False,False,False,,True
20260510,juliet-cwe121-char-type-overrun-memcpy-01,1,meta-llama-llama-3-1-8b-instruct,ok,251.405,0,0,False,False,False,,True
20260510,juliet-cwe122-char-type-overrun-memcpy-01,1,meta-llama-llama-3-1-8b-instruct,ok,251.296,0,0,False,False,False,,True
20260510,juliet-cwe126-char-alloca-loop-01,1,meta-llama-llama-3-1-8b-instruct,ok,251.48,0,0,False,False,False,,True
20260510,juliet-cwe415-malloc-free-char-01,1,meta-llama-llama-3-1-8b-instruct,ok,251.343,0,0,False,False,False,,True
20260510,juliet-cwe416-malloc-free-char-01,1,meta-llama-llama-3-1-8b-instruct,ok,251.411,0,0,False,False,False,,True
20260510,man-overflow,1,meta-llama-llama-3-1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
20260510,ncompress-overflow,1,meta-llama-llama-3-1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
20260510,polymorph-overflow,1,meta-llama-llama-3-1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
20260510,bc-heap-overflow,1,nvidia-nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
20260510,berry-1,1,nvidia-nemotron-3-nano-30b-a3b,ok,251.368,0,0,False,False,False,,True
20260510,berry-2,1,nvidia-nemotron-3-nano-30b-a3b,ok,251.368,0,0,False,False,False,,True
20260510,berry-3,1,nvidia-nemotron-3-nano-30b-a3b,ok,251.059,0,0,False,False,False,,True
20260510,berry-4,1,nvidia-nemotron-3-nano-30b-a3b,ok,251.061,0,0,False,False,False,,True
20260510,berry-5,1,nvidia-nemotron-3-nano-30b-a3b,ok,250.963,0,0,False,False,False,,True
20260510,crashbench-abo2,1,nvidia-nemotron-3-nano-30b-a3b,ok,250.975,0,0,False,False,False,,True
20260510,crashbench-abo3,1,nvidia-nemotron-3-nano-30b-a3b,ok,250.798,0,0,False,False,False,,True
20260510,crashbench-abo5,1,nvidia-nemotron-3-nano-30b-a3b,ok,251.024,0,0,False,False,False,,True
20260510,crashbench-abo7,1,nvidia-nemotron-3-nano-30b-a3b,ok,250.997,0,0,False,False,False,,True
20260510,man-overflow,1,nvidia-nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
20260510,ncompress-overflow,1,nvidia-nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
20260510,polymorph-overflow,1,nvidia-nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
20260510,crashbench-abo1,1,openai-gpt-4o,ok,251.506,0,0,False,False,False,,True
20260510,crashbench-abo2,1,openai-gpt-4o,ok,251.506,0,0,False,False,False,,True
20260510,crashbench-abo3,1,openai-gpt-4o,ok,251.152,0,0,False,False,False,,True
20260510,crashbench-abo5,1,openai-gpt-4o,ok,251.154,0,0,False,False,False,,True
20260510,crashbench-abo7,1,openai-gpt-4o,ok,251.055,0,0,False,False,False,,True
20260510,crashbench-abo8,1,openai-gpt-4o,ok,251.034,0,0,False,False,False,,True
20260510,juliet-cwe121-char-type-overrun-memcpy-01,1,openai-gpt-4o,ok,250.996,0,0,False,False,False,,True
20260510,juliet-cwe122-char-type-overrun-memcpy-01,1,openai-gpt-4o,ok,250.995,0,0,False,False,False,,True
20260510,juliet-cwe126-char-alloca-loop-01,1,openai-gpt-4o,ok,250.945,0,0,False,False,False,,True
20260510,juliet-cwe415-malloc-free-char-01,1,openai-gpt-4o,ok,250.949,0,0,False,False,False,,True
20260510,juliet-cwe416-malloc-free-char-01,1,openai-gpt-4o,ok,250.785,0,0,False,False,False,,True
20260510,ncompress-overflow,1,openai-gpt-4o,build_failed,0.0,,0,False,False,False,,False
20260510,bc-heap-overflow,1,openai-gpt-5-5,build_failed,0.0,,0,False,False,False,,False
20260510,crashbench-abo3,1,openai-gpt-5-5,ok,250.855,0,0,False,False,False,,True
